Embedding Size,LSTM Neurons,MaxFeatures,Test Accuracy,Test Loss
64,32,50000,0.8944799900054932,0.26214998960494995
64,32,20000,0.890720009803772,0.26830047369003296
16,64,50000,0.8876000046730042,0.2845558822154999
64,64,50000,0.8876000046730042,0.2752951681613922
8,64,50000,0.8866400122642517,0.28303858637809753
32,64,50000,0.885919988155365,0.2805178463459015
8,64,20000,0.8855999708175659,0.28713542222976685
32,64,20000,0.8855999708175659,0.28417137265205383
64,64,20000,0.884880006313324,0.27945655584335327
16,32,20000,0.882319986820221,0.291637122631073
8,32,50000,0.881600022315979,0.28576263785362244
16,32,50000,0.8812800049781799,0.2862383723258972
8,32,20000,0.8805599808692932,0.2864138185977936
16,64,20000,0.8805599808692932,0.29659977555274963
32,32,20000,0.8772000074386597,0.3003367781639099
32,32,50000,0.8729599714279175,0.3051320016384125
