Embedding Size,LSTM Neurons,Dropout Rate,Recurrent Dropout,MaxFeatures,Test Accuracy,Test Loss
64,64,0.3,0.3,20000,0.8664799928665161,0.3402646481990814
32,64,0.3,0.3,20000,0.8634399771690369,0.35032856464385986
64,32,0.3,0.3,50000,0.8615999817848206,0.3584340214729309
8,64,0.3,0.3,50000,0.8598399758338928,0.34716641902923584
64,64,0.3,0.5,50000,0.8593599796295166,0.36246874928474426
8,64,0.3,0.3,20000,0.8592000007629395,0.3452686071395874
16,64,0.3,0.3,50000,0.8586400151252747,0.3480309844017029
64,32,0.3,0.3,20000,0.8581600189208984,0.3673950433731079
16,64,0.3,0.5,50000,0.8579199910163879,0.3641800880432129
64,64,0.3,0.3,50000,0.8578400015830994,0.3486953377723694
64,64,0.5,0.3,20000,0.8576800227165222,0.3837370276451111
8,32,0.3,0.3,20000,0.855679988861084,0.35756686329841614
16,64,0.5,0.5,50000,0.8555999994277954,0.35779500007629395
8,64,0.3,0.5,50000,0.8555200099945068,0.36634284257888794
8,64,0.5,0.3,20000,0.8554400205612183,0.3692092299461365
32,32,0.3,0.3,20000,0.8551200032234192,0.35472652316093445
32,64,0.3,0.3,50000,0.8550400137901306,0.3542060852050781
16,64,0.5,0.3,20000,0.8548799753189087,0.3568117916584015
64,32,0.3,0.5,20000,0.8547199964523315,0.3708054721355438
8,32,0.5,0.3,50000,0.8547199964523315,0.3755364716053009
64,64,0.3,0.5,20000,0.8547199964523315,0.3584727644920349
8,64,0.5,0.5,20000,0.854640007019043,0.37235507369041443
32,64,0.3,0.5,50000,0.8535199761390686,0.3655798137187958
16,32,0.3,0.3,50000,0.8535199761390686,0.3586016297340393
32,64,0.5,0.5,20000,0.8533599972724915,0.35954800248146057
32,64,0.5,0.3,20000,0.8531200289726257,0.3563076853752136
64,32,0.5,0.3,50000,0.8528800010681152,0.35183772444725037
32,64,0.5,0.5,50000,0.8526399731636047,0.3654678165912628
16,32,0.5,0.5,50000,0.8522400259971619,0.36212074756622314
8,32,0.5,0.3,20000,0.8519999980926514,0.3618004322052002
64,32,0.5,0.3,20000,0.8519200086593628,0.3623305857181549
16,64,0.5,0.3,50000,0.8518400192260742,0.3585832417011261
16,32,0.5,0.3,50000,0.8509600162506104,0.3619789481163025
32,32,0.5,0.3,50000,0.8504800200462341,0.3705066442489624
32,64,0.5,0.3,50000,0.8504800200462341,0.3918626606464386
8,64,0.5,0.5,50000,0.8503999710083008,0.37240707874298096
16,32,0.5,0.3,20000,0.8503199815750122,0.36725637316703796
32,64,0.3,0.5,20000,0.8503199815750122,0.37132465839385986
32,32,0.3,0.3,50000,0.8503199815750122,0.36691024899482727
64,64,0.5,0.5,20000,0.849839985370636,0.3571818768978119
16,64,0.3,0.5,20000,0.8494399785995483,0.36430343985557556
8,32,0.3,0.3,50000,0.849120020866394,0.3630826473236084
64,64,0.5,0.3,50000,0.8476799726486206,0.3797222971916199
16,64,0.5,0.5,20000,0.8467199802398682,0.3768322169780731
64,32,0.5,0.5,20000,0.8464800119400024,0.3793072998523712
8,32,0.5,0.5,50000,0.8463199734687805,0.37226563692092896
16,32,0.5,0.5,20000,0.8462399840354919,0.3726966381072998
8,32,0.3,0.5,50000,0.8460000157356262,0.38724327087402344
8,32,0.3,0.5,20000,0.8456000089645386,0.38399097323417664
64,64,0.5,0.5,50000,0.84552001953125,0.3722497522830963
16,32,0.3,0.5,50000,0.8453599810600281,0.386572927236557
16,64,0.3,0.3,20000,0.8451200127601624,0.37358516454696655
8,64,0.3,0.5,20000,0.8451200127601624,0.37666961550712585
16,32,0.3,0.3,20000,0.8445600271224976,0.3564576506614685
8,32,0.5,0.5,20000,0.8444799780845642,0.3728788197040558
32,32,0.5,0.5,50000,0.8428000211715698,0.38786590099334717
32,32,0.5,0.5,20000,0.8426399827003479,0.38156354427337646
64,32,0.3,0.5,50000,0.8424000144004822,0.3840962052345276
32,32,0.5,0.3,20000,0.8408799767494202,0.37936198711395264
64,32,0.5,0.5,50000,0.8390399813652039,0.3915610611438751
16,32,0.3,0.5,20000,0.8375200033187866,0.3921063244342804
32,32,0.3,0.5,50000,0.8369600176811218,0.3996722400188446
8,64,0.5,0.3,50000,0.8363999724388123,0.37181419134140015
32,32,0.3,0.5,20000,0.8332800269126892,0.39865535497665405
